,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned,Order_transformed
171,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Taricha,torosa,California newt,1095.0,1095.0,45.0,,122.0,,,0.45,,,,21.8,captivity,small,acceptable,,,,,,Amphibians,Caudata
173,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,cristatus,Northern crested newt,,,16.0,,225.0,,,,,,,28.0,captivity,medium,acceptable,,,,,,Amphibians,Caudata
174,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,marmoratus,Marbled newt,1460.0,1460.0,,,,,,,,,,25.0,captivity,small,acceptable,,,,,,Amphibians,Caudata
175,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Tylototriton,verrucosus,Mandarin salamander,1460.0,1460.0,,,43.0,,,,,,,11.0,wild,medium,acceptable,,,,,,Amphibians,Caudata
176,Animalia,Chordata,Amphibia,Caudata,Sirenidae,Siren,intermedia,Lesser siren,730.0,730.0,60.0,,350.0,,,,,,,25.7,captivity,medium,acceptable,,,,,,Amphibians,Caudata
182,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,Cooper's hawk,730.0,730.0,24.0,,4.0,1.0,,28.0,,526.64,0.212,20.3,wild,medium,acceptable,,,,,,Birds,Accipitriformes
183,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,Northern goshawk,365.0,730.0,33.0,,3.0,1.0,,,,1044.2,0.225,22.0,wild,medium,acceptable,,,,,,Birds,Accipitriformes
184,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,nisus,Eurasian sparrowhawk,365.0,365.0,,,,,,,,237.5,0.258,20.2,wild,medium,acceptable,,,0.9516,135.0,,Birds,Accipitriformes
185,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,striatus,Sharp-shinned hawk,365.0,365.0,34.0,,4.0,1.0,,,,135.0,,19.9,wild,medium,acceptable,,,,,,Birds,Accipitriformes
189,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden eagle,1460.0,1460.0,40.0,,2.0,1.0,,110.6,,4800.0,0.126,48.0,captivity,medium,acceptable,,,4.9929,3000.0,,Birds,Accipitriformes
196,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,buteo,Buzzard,730.0,730.0,,,,,,,,1012.0,0.18899999999999997,28.8,wild,medium,acceptable,,,,,,Birds,Accipitriformes
